store_name,city,state,product_name,category,price,quantity,revenue,sale_date
Store A,Bangalore,Karnataka,Milk,Dairy,50,10,500,2024-01-05
Store A,Bangalore,Karnataka,Bread,Bakery,40,8,320,2024-01-05
Store A,Bangalore,Karnataka,Butter,Dairy,60,5,300,2024-01-06
Store B,Mumbai,Maharashtra,Rice,Grains,80,20,1600,2024-01-07
Store B,Mumbai,Maharashtra,Wheat,Grains,70,15,1050,2024-01-08
Store B,Mumbai,Maharashtra,Sugar,Grocery,45,12,540,2024-01-09
Store C,Delhi,Delhi,Tea,Grocery,30,25,750,2024-02-01
Store C,Delhi,Delhi,Coffee,Grocery,120,10,1200,2024-02-02
Store A,Bangalore,Karnataka,Milk,Dairy,50,12,600,2024-02-03
Store A,Bangalore,Karnataka,Bread,Bakery,40,9,360,2024-02-03
Store B,Mumbai,Maharashtra,Rice,Grains,80,18,1440,2024-02-05
Store C,Delhi,Delhi,Butter,Dairy,60,7,420,2024-02-06
Store A,Bangalore,Karnataka,Tea,Grocery,30,20,600,2024-03-01
Store B,Mumbai,Maharashtra,Coffee,Grocery,120,8,960,2024-03-02
Store C,Delhi,Delhi,Milk,Dairy,50,14,700,2024-03-03